batter,bat_team,opposition,venue,innings,batter_avg,batter_rpm,batter_sr,batter_bpm,batter_avg_last5,batter_sr_last5,batter_rpm_last5,batter_bpm_last5,bat_team_avg,batter_avg_opp,batter_sr_opp,batter_rpm_opp,batter_bpm_opp,bat_team_avg_opp,all_team_avg_opp,batter_avg_inn,batter_sr_inn,batter_rpm_inn,batter_bpm_inn,bat_team_avg_inn,all_team_avg_inn,batter_avg_ven,batter_sr_ven,batter_rpm_ven,batter_bpm_ven,bat_team_avg_ven,all_team_avg_ven
67773.0,Pakistan,Bangladesh,Dubai International Cricket Stadium,1,48.84375,44.65714285714286,82.63283108643934,4.014285714285714,30.0,92.5925925925926,30.0,4.2,205.99795501022496,91.5,89.26829268292683,91.5,5.0,228.1315789473684,208.90867579908675,47.096774193548384,82.81338627339761,44.24242424242424,4.03030303030303,217.82846003898635,219.1707112970712,52.0,68.42105263157895,26.0,2.0,216.8095238095238,387.64912280701753
67773.0,Pakistan,Bangladesh,Dubai International Cricket Stadium,2,48.84375,44.65714285714286,82.63283108643934,4.014285714285714,30.0,92.5925925925926,30.0,4.2,205.99795501022496,91.5,89.26829268292683,91.5,5.0,228.1315789473684,208.90867579908675,49.875,81.8881477680862,44.333333333333336,3.8333333333333335,192.73491379310343,187.33973948323725,52.0,68.42105263157895,26.0,2.0,216.8095238095238,387.64912280701753
67773.0,Pakistan,Bangladesh,National Stadium,1,48.84375,44.65714285714286,82.63283108643934,4.014285714285714,30.0,92.5925925925926,30.0,4.2,205.99795501022496,91.5,89.26829268292683,91.5,5.0,228.1315789473684,208.90867579908675,47.096774193548384,82.81338627339761,44.24242424242424,4.03030303030303,217.82846003898635,219.1707112970712,16.0,71.64179104477611,16.0,1.3333333333333333,218.42592592592592,424.89230769230767
67773.0,Pakistan,Bangladesh,National Stadium,2,48.84375,44.65714285714286,82.63283108643934,4.014285714285714,30.0,92.5925925925926,30.0,4.2,205.99795501022496,91.5,89.26829268292683,91.5,5.0,228.1315789473684,208.90867579908675,49.875,81.8881477680862,44.333333333333336,3.8333333333333335,192.73491379310343,187.33973948323725,16.0,71.64179104477611,16.0,1.3333333333333333,218.42592592592592,424.89230769230767
67773.0,Pakistan,Bangladesh,Gaddafi Stadium,1,48.84375,44.65714285714286,82.63283108643934,4.014285714285714,30.0,92.5925925925926,30.0,4.2,205.99795501022496,91.5,89.26829268292683,91.5,5.0,228.1315789473684,208.90867579908675,47.096774193548384,82.81338627339761,44.24242424242424,4.03030303030303,217.82846003898635,219.1707112970712,149.0,101.70648464163824,99.33333333333331,8.333333333333334,222.1818181818182,440.4411764705882
67773.0,Pakistan,Bangladesh,Gaddafi Stadium,2,48.84375,44.65714285714286,82.63283108643934,4.014285714285714,30.0,92.5925925925926,30.0,4.2,205.99795501022496,91.5,89.26829268292683,91.5,5.0,228.1315789473684,208.90867579908675,49.875,81.8881477680862,44.333333333333336,3.8333333333333335,192.73491379310343,187.33973948323725,149.0,101.70648464163824,99.33333333333331,8.333333333333334,222.1818181818182,440.4411764705882
67773.0,Pakistan,Bangladesh,Rawalpindi Cricket Stadium,1,48.84375,44.65714285714286,82.63283108643934,4.014285714285714,30.0,92.5925925925926,30.0,4.2,205.99795501022496,91.5,89.26829268292683,91.5,5.0,228.1315789473684,208.90867579908675,47.096774193548384,82.81338627339761,44.24242424242424,4.03030303030303,217.82846003898635,219.1707112970712,42.75,83.82352941176471,42.75,4.5,224.6190476190476,416.6
67773.0,Pakistan,Bangladesh,Rawalpindi Cricket Stadium,2,48.84375,44.65714285714286,82.63283108643934,4.014285714285714,30.0,92.5925925925926,30.0,4.2,205.99795501022496,91.5,89.26829268292683,91.5,5.0,228.1315789473684,208.90867579908675,49.875,81.8881477680862,44.333333333333336,3.8333333333333335,192.73491379310343,187.33973948323725,42.75,83.82352941176471,42.75,4.5,224.6190476190476,416.6
67773.0,Pakistan,England,Dubai International Cricket Stadium,1,48.84375,44.65714285714286,82.63283108643934,4.014285714285714,30.0,92.5925925925926,30.0,4.2,205.99795501022496,55.8,86.11111111111111,39.85714285714285,4.142857142857143,201.956043956044,208.297365119197,47.096774193548384,82.81338627339761,44.24242424242424,4.03030303030303,217.82846003898635,219.1707112970712,52.0,68.42105263157895,26.0,2.0,216.8095238095238,387.64912280701753
67773.0,Pakistan,England,Dubai International Cricket Stadium,2,48.84375,44.65714285714286,82.63283108643934,4.014285714285714,30.0,92.5925925925926,30.0,4.2,205.99795501022496,55.8,86.11111111111111,39.85714285714285,4.142857142857143,201.956043956044,208.297365119197,49.875,81.8881477680862,44.333333333333336,3.8333333333333335,192.73491379310343,187.33973948323725,52.0,68.42105263157895,26.0,2.0,216.8095238095238,387.64912280701753
67773.0,Pakistan,England,National Stadium,1,48.84375,44.65714285714286,82.63283108643934,4.014285714285714,30.0,92.5925925925926,30.0,4.2,205.99795501022496,55.8,86.11111111111111,39.85714285714285,4.142857142857143,201.956043956044,208.297365119197,47.096774193548384,82.81338627339761,44.24242424242424,4.03030303030303,217.82846003898635,219.1707112970712,16.0,71.64179104477611,16.0,1.3333333333333333,218.42592592592592,424.89230769230767
67773.0,Pakistan,England,National Stadium,2,48.84375,44.65714285714286,82.63283108643934,4.014285714285714,30.0,92.5925925925926,30.0,4.2,205.99795501022496,55.8,86.11111111111111,39.85714285714285,4.142857142857143,201.956043956044,208.297365119197,49.875,81.8881477680862,44.333333333333336,3.8333333333333335,192.73491379310343,187.33973948323725,16.0,71.64179104477611,16.0,1.3333333333333333,218.42592592592592,424.89230769230767
