bowler,bowl_team,opposition,venue,innings,bowler_avg,bowler_eco,bowler_sr,bowler_wpm,bowler_avg_last5,bowler_eco_last5,bowler_sr_last5,bowler_wpm_last5,bowling_fp,matchup_score,bowl_team_avg,bowler_avg_opp,bowler_eco_opp,bowler_sr_opp,bowler_wpm_opp,bowl_team_avg_opp,all_team_avg_opp,bowler_avg_inn,bowler_sr_inn,bowler_wpm_inn,bowler_eco_inn,bowl_team_avg_inn,all_team_avg_inn,bowler_avg_ven,bowler_sr_ven,bowler_wpm_ven,bowler_eco_ven,bowl_team_avg_ven,all_team_avg_ven
70691.0,New Zealand,Bangladesh,Dubai International Cricket Stadium,1,39.91666666666666,5.12847965738758,46.833333333333336,1.0,62.0,6.526315789473684,57.0,0.8,63.0,0.3805712014942384,239.28734296789327,45.5,3.5,78.0,0.5,225.72715039850948,230.96386778895504,57.8,63.2,0.8333333333333334,5.515267175572519,245.6962632983528,247.22206982234692,,,,,250.0,205.44736842105263
70691.0,New Zealand,Bangladesh,Dubai International Cricket Stadium,2,39.91666666666666,5.12847965738758,46.833333333333336,1.0,62.0,6.526315789473684,57.0,0.8,63.0,0.3805712014942384,239.28734296789327,45.5,3.5,78.0,0.5,225.72715039850948,230.96386778895504,22.83333333333333,31.0,1.2,4.419354838709677,232.10615750255465,236.41603248102467,,,,,250.0,205.44736842105263
70691.0,New Zealand,Bangladesh,National Stadium,1,39.91666666666666,5.12847965738758,46.833333333333336,1.0,62.0,6.526315789473684,57.0,0.8,63.0,0.3805712014942384,239.28734296789327,45.5,3.5,78.0,0.5,225.72715039850948,230.96386778895504,57.8,63.2,0.8333333333333334,5.515267175572519,245.6962632983528,247.22206982234692,,,,,264.2857142857143,225.7384615384616
70691.0,New Zealand,Bangladesh,National Stadium,2,39.91666666666666,5.12847965738758,46.833333333333336,1.0,62.0,6.526315789473684,57.0,0.8,63.0,0.3805712014942384,239.28734296789327,45.5,3.5,78.0,0.5,225.72715039850948,230.96386778895504,22.83333333333333,31.0,1.2,4.419354838709677,232.10615750255465,236.41603248102467,,,,,264.2857142857143,225.7384615384616
70691.0,New Zealand,Bangladesh,Gaddafi Stadium,1,39.91666666666666,5.12847965738758,46.833333333333336,1.0,62.0,6.526315789473684,57.0,0.8,63.0,0.3805712014942384,239.28734296789327,45.5,3.5,78.0,0.5,225.72715039850948,230.96386778895504,57.8,63.2,0.8333333333333334,5.515267175572519,245.6962632983528,247.22206982234692,,,,,262.3333333333333,236.0955882352941
70691.0,New Zealand,Bangladesh,Gaddafi Stadium,2,39.91666666666666,5.12847965738758,46.833333333333336,1.0,62.0,6.526315789473684,57.0,0.8,63.0,0.3805712014942384,239.28734296789327,45.5,3.5,78.0,0.5,225.72715039850948,230.96386778895504,22.83333333333333,31.0,1.2,4.419354838709677,232.10615750255465,236.41603248102467,,,,,262.3333333333333,236.0955882352941
70691.0,New Zealand,Bangladesh,Rawalpindi Cricket Stadium,1,39.91666666666666,5.12847965738758,46.833333333333336,1.0,62.0,6.526315789473684,57.0,0.8,63.0,0.3805712014942384,239.28734296789327,45.5,3.5,78.0,0.5,225.72715039850948,230.96386778895504,57.8,63.2,0.8333333333333334,5.515267175572519,245.6962632983528,247.22206982234692,,,,,257.5,223.36
70691.0,New Zealand,Bangladesh,Rawalpindi Cricket Stadium,2,39.91666666666666,5.12847965738758,46.833333333333336,1.0,62.0,6.526315789473684,57.0,0.8,63.0,0.3805712014942384,239.28734296789327,45.5,3.5,78.0,0.5,225.72715039850948,230.96386778895504,22.83333333333333,31.0,1.2,4.419354838709677,232.10615750255465,236.41603248102467,,,,,257.5,223.36
70691.0,New Zealand,England,Dubai International Cricket Stadium,1,39.91666666666666,5.12847965738758,46.833333333333336,1.0,62.0,6.526315789473684,57.0,0.8,63.0,0.3805712014942384,239.28734296789327,21.0,8.666666666666666,30.0,0.0,243.64810255933853,249.0292764102321,57.8,63.2,0.8333333333333334,5.515267175572519,245.6962632983528,247.22206982234692,,,,,250.0,205.44736842105263
70691.0,New Zealand,England,Dubai International Cricket Stadium,2,39.91666666666666,5.12847965738758,46.833333333333336,1.0,62.0,6.526315789473684,57.0,0.8,63.0,0.3805712014942384,239.28734296789327,21.0,8.666666666666666,30.0,0.0,243.64810255933853,249.0292764102321,22.83333333333333,31.0,1.2,4.419354838709677,232.10615750255465,236.41603248102467,,,,,250.0,205.44736842105263
70691.0,New Zealand,England,National Stadium,1,39.91666666666666,5.12847965738758,46.833333333333336,1.0,62.0,6.526315789473684,57.0,0.8,63.0,0.3805712014942384,239.28734296789327,21.0,8.666666666666666,30.0,0.0,243.64810255933853,249.0292764102321,57.8,63.2,0.8333333333333334,5.515267175572519,245.6962632983528,247.22206982234692,,,,,264.2857142857143,225.7384615384616
70691.0,New Zealand,England,National Stadium,2,39.91666666666666,5.12847965738758,46.833333333333336,1.0,62.0,6.526315789473684,57.0,0.8,63.0,0.3805712014942384,239.28734296789327,21.0,8.666666666666666,30.0,0.0,243.64810255933853,249.0292764102321,22.83333333333333,31.0,1.2,4.419354838709677,232.10615750255465,236.41603248102467,,,,,264.2857142857143,225.7384615384616
70691.0,New Zealand,England,Gaddafi Stadium,1,39.91666666666666,5.12847965738758,46.833333333333336,1.0,62.0,6.526315789473684,57.0,0.8,63.0,0.3805712014942384,239.28734296789327,21.0,8.666666666666666,30.0,0.0,243.64810255933853,249.0292764102321,57.8,63.2,0.8333333333333334,5.515267175572519,245.6962632983528,247.22206982234692,,,,,262.3333333333333,236.0955882352941
