match_id,innings,batting_team,batsman,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler
1444651,2,Zimbabwe,Pakistan,0,0,0,0,0.00,DNB,,,
1444651,2,Zimbabwe,Zimbabwe,0,0,0,0,0.00,DNB,,,
1445034,2,Netherlands,A Johnson,1,7,0,0,14.29,Yes,bowled,,D Heyliger
1445034,2,Netherlands,DS Bajwa,25,47,2,0,53.19,Yes,caught,,D Heyliger
1445034,2,Netherlands,Aaditya Varadarajan,7,10,1,0,70.00,Yes,caught,,D Heyliger
1445034,2,Netherlands,H Thaker,35,79,2,0,44.30,Yes,bowled,,D Heyliger
1445034,2,Netherlands,NR Kirton,1,4,0,0,25.00,Yes,caught,,D Heyliger
1445034,2,Netherlands,S Movva,65,91,6,0,71.43,Yes,caught,,D Heyliger
1445034,2,Netherlands,Saad Bin Zafar,22,36,1,0,61.11,Yes,caught,,D Heyliger
1445034,2,Netherlands,D Heyliger,12,10,2,0,120.00,Yes,caught,,D Heyliger
1445034,2,Netherlands,Kaleem Sana,7,3,0,1,233.33,Yes,bowled,,D Heyliger
1445034,2,Netherlands,Junaid Siddiqui,2,4,0,0,50.00,Yes,lbw,,D Heyliger
1445034,2,Netherlands,JOA Gordon,6,4,1,0,150.00,No,,,D Heyliger
1445034,2,Netherlands,M Levitt,45,50,8,0,90.00,Yes,caught,,D Heyliger
1445034,2,Netherlands,MP O'Dowd,79,127,8,0,62.20,No,,,D Heyliger
1445034,2,Netherlands,Vikramjit Singh,29,50,0,0,58.00,Yes,caught,,D Heyliger
1445034,2,Netherlands,W Barresi,8,18,1,0,44.44,Yes,bowled,,D Heyliger
1445034,2,Netherlands,SA Edwards,1,7,0,0,14.29,Yes,lbw,,D Heyliger
1445034,2,Netherlands,NRJ Croes,6,15,0,0,40.00,Yes,bowled,,D Heyliger
1445034,2,Netherlands,Shariz Ahmad,8,17,1,0,47.06,No,,,D Heyliger
