Match ID,innings,batting_team,striker,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler
1450691,1,United Arab Emirates,A Sharafu,0.0,2.0,0.0,0.0,0.0,True,caught,,SN Netravalkar
1450691,1,United Arab Emirates,A Sharma,31.0,39.0,4.0,1.0,79.49,True,caught,,NP Kenjige
1450691,1,United Arab Emirates,Aayan Afzal Khan,0.0,1.0,0.0,0.0,0.0,True,bowled,,Jasdeep Singh
1450691,1,United Arab Emirates,Ali Naseer,23.0,31.0,5.0,0.0,74.19,True,caught,,Milind Kumar
1450691,1,United Arab Emirates,Basil Hameed,0.0,1.0,0.0,0.0,0.0,True,caught,,Jasdeep Singh
1450691,1,United Arab Emirates,Junaid Siddique,0.0,3.0,0.0,0.0,0.0,True,bowled,,Jasdeep Singh
1450691,1,United Arab Emirates,Muhammad Jawadullah,0.0,1.0,0.0,0.0,0.0,False,not out,['-'],
1450691,1,United Arab Emirates,R Chopra,32.0,66.0,3.0,0.0,48.48,True,caught,,Milind Kumar
1450691,1,United Arab Emirates,RN Bhatia,8.0,27.0,0.0,0.0,29.63,True,lbw,,Jasdeep Singh
1450691,1,United Arab Emirates,V Sukumaran,2.0,16.0,0.0,0.0,12.5,True,caught,,NP Kenjige
1450691,1,United Arab Emirates,Waseem Muhammad,2.0,7.0,0.0,0.0,28.57,True,caught,,SN Netravalkar
1450691,2,United States of America,AGS Gous,66.0,55.0,12.0,1.0,120.0,False,not out,['-'],
1450691,2,United States of America,SK Patel,38.0,43.0,5.0,0.0,88.37,False,not out,['-'],
1450691,2,United States of America,MD Patel,,,,,,False,DNB,,
1450691,2,United States of America,SR Mukkamalla,,,,,,False,DNB,,
1450691,2,United States of America,Milind Kumar,,,,,,False,DNB,,
1450691,2,United States of America,Shayan Jahangir,,,,,,False,DNB,,
1450691,2,United States of America,Harmeet Singh,,,,,,False,DNB,,
1450691,2,United States of America,Jasdeep Singh,,,,,,False,DNB,,
1450691,2,United States of America,NP Kenjige,,,,,,False,DNB,,
1450691,2,United States of America,SN Netravalkar,,,,,,False,DNB,,
1450691,2,United States of America,J Drysdale,,,,,,False,DNB,,
1450692,1,Namibia,BM Scholtz,24.0,28.0,2.0,0.0,85.71,True,caught,,Ali Naseer
1450692,1,Namibia,JI de Villiers,3.0,6.0,0.0,0.0,50.0,True,caught,,RN Bhatia
1450692,1,Namibia,JJ Smit,14.0,27.0,1.0,0.0,51.85,True,bowled,,Junaid Siddique
1450692,1,Namibia,JN Frylinck,8.0,20.0,0.0,0.0,40.0,True,bowled,,V Sukumaran
1450692,1,Namibia,JN Loftie-Eaton,54.0,65.0,2.0,3.0,83.08,True,run out,,Ali Naseer
1450692,1,Namibia,JP Kotze,64.0,57.0,6.0,4.0,112.28,True,bowled,,Muhammad Jawadullah
1450692,1,Namibia,JT Brassell,0.0,5.0,0.0,0.0,0.0,True,run out,,Ali Naseer
1450692,1,Namibia,M van Lingen,107.0,88.0,9.0,4.0,121.59,True,caught,,Basil Hameed
1450692,1,Namibia,MB Kruger,0.0,2.0,0.0,0.0,0.0,True,caught,,Ali Naseer
1450692,1,Namibia,MG Erasmus,19.0,13.0,2.0,1.0,146.15,True,lbw,,Ali Naseer
1450692,2,United Arab Emirates,A Sharafu,30.0,43.0,4.0,1.0,69.77,True,caught,,MG Erasmus
1450692,2,United Arab Emirates,A Sharma,30.0,44.0,2.0,1.0,68.18,True,bowled,,BM Scholtz
1450692,2,United Arab Emirates,Ali Naseer,38.0,21.0,2.0,3.0,180.95,False,not out,['-'],
1450692,2,United Arab Emirates,Asif Khan,2.0,6.0,0.0,0.0,33.33,True,bowled,,BM Scholtz
1450692,2,United Arab Emirates,Basil Hameed,71.0,48.0,6.0,4.0,147.92,True,caught,,JN Loftie-Eaton
