Match ID,innings,team,batsman,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler
1375845,3,West Indies,2b8f219a,26,35,4,0,74.29,False,not out,,03806cf8
1375845,3,West Indies,58c2fac4,0,11,0,0,0.0,False,not out,,03806cf8
1375845,3,West Indies,49dc9cb4,3,12,0,0,25.0,False,not out,,03806cf8
1375845,3,West Indies,74d12124,24,37,3,0,64.86,False,not out,,03806cf8
1375845,3,West Indies,bab78fa2,18,44,1,0,40.91,False,not out,,eaa76d3c
1375845,3,West Indies,b0946605,16,30,3,0,53.33,False,not out,,96a6a7ad
1375845,3,West Indies,97bdec3d,3,10,0,0,30.0,False,not out,,3fb19989
1375845,3,West Indies,97290faf,15,12,3,0,125.0,False,not out,,03806cf8
1375845,3,West Indies,78eb4223,11,11,2,0,100.0,False,not out,,3fb19989
1375845,4,Australia,30a45b23,11,22,2,0,50.0,False,not out,,78eb4223
1375845,4,Australia,331ea488,9,20,1,0,45.0,False,not out,,78eb4223
1375845,4,Australia,fa433be6,1,2,0,0,50.0,False,not out,,97290faf
1375845,4,Australia,eaa76d3c,,,,,,False,DNB,,
1375845,4,Australia,12b610c2,,,,,,False,DNB,,
1375845,4,Australia,3d8feaf8,,,,,,False,DNB,,
1375845,4,Australia,69d03465,,,,,,False,DNB,,
1375845,4,Australia,3fb19989,,,,,,False,DNB,,
1375845,4,Australia,ded9240e,,,,,,False,DNB,,
1375845,4,Australia,96a6a7ad,,,,,,False,DNB,,
1375845,4,Australia,03806cf8,,,,,,False,DNB,,
1375846,1,West Indies,7d5af2ea,4,25,0,0,16.0,False,not out,,3fb19989
1375846,1,West Indies,80c6ed7d,21,48,2,0,43.75,False,not out,,3fb19989
1375846,1,West Indies,2b8f219a,21,25,3,1,84.0,False,not out,,03806cf8
1375846,1,West Indies,58c2fac4,8,22,1,0,36.36,False,not out,,ded9240e
1375846,1,West Indies,49dc9cb4,71,194,8,1,36.6,False,not out,,3fb19989
1375846,1,West Indies,74d12124,6,10,1,0,60.0,False,not out,,3fb19989
1375846,1,West Indies,bab78fa2,79,159,7,0,49.69,False,not out,,3fb19989
1375846,1,West Indies,314642ed,50,98,5,1,51.02,False,not out,,96a6a7ad
1375846,1,West Indies,b0946605,32,22,7,0,145.45,False,not out,,3fb19989
1375846,1,West Indies,78eb4223,8,40,1,0,20.0,False,not out,,03806cf8
1375846,1,West Indies,97290faf,3,9,0,0,33.33,False,not out,,ded9240e
1375846,2,Australia,30a45b23,6,6,1,0,100.0,False,not out,,78eb4223
1375846,2,Australia,331ea488,75,131,10,0,57.25,False,not out,,b0946605
1375846,2,Australia,fa433be6,3,3,0,0,100.0,False,not out,,b0946605
1375846,2,Australia,eaa76d3c,8,14,1,0,57.14,False,not out,,b0946605
1375846,2,Australia,12b610c2,0,1,0,0,0.0,False,not out,,78eb4223
1375846,2,Australia,3d8feaf8,21,20,3,1,105.0,False,not out,,b0946605
1375846,2,Australia,69d03465,65,49,9,1,132.65,False,not out,,b0946605
1375846,2,Australia,3fb19989,2,8,0,0,25.0,False,not out,,97290faf
1375846,2,Australia,ded9240e,64,75,8,1,85.33,False,not out,,b0946605
1375846,2,Australia,96a6a7ad,19,19,2,0,100.0,False,not out,,314642ed
1375846,2,Australia,03806cf8,,,,,,False,DNB,,
1375846,3,West Indies,7d5af2ea,16,54,2,0,29.63,False,not out,,3fb19989
1375846,3,West Indies,80c6ed7d,4,26,0,0,15.38,False,not out,,3fb19989
1375846,3,West Indies,2b8f219a,41,50,6,0,82.0,False,not out,,03806cf8
1375846,3,West Indies,58c2fac4,35,72,3,0,48.61,False,not out,,eaa76d3c
1375846,3,West Indies,49dc9cb4,29,74,4,0,39.19,False,not out,,96a6a7ad
1375846,3,West Indies,74d12124,33,60,4,0,55.0,False,not out,,96a6a7ad
1375846,3,West Indies,bab78fa2,7,8,1,0,87.5,False,not out,,eaa76d3c
1375846,3,West Indies,314642ed,14,59,3,0,23.73,False,not out,,3fb19989
1375846,3,West Indies,b0946605,0,4,0,0,0.0,False,not out,,03806cf8
1375846,3,West Indies,78eb4223,1,17,0,0,5.88,False,not out,,03806cf8
1375846,3,West Indies,97290faf,3,14,0,0,21.43,False,not out,,96a6a7ad
1375846,4,Australia,30a45b23,91,149,9,1,61.07,False,not out,,78eb4223
1375846,4,Australia,331ea488,10,17,1,0,58.82,False,not out,,b0946605
1375846,4,Australia,fa433be6,5,12,0,0,41.67,False,not out,,b0946605
1375846,4,Australia,eaa76d3c,42,73,4,0,57.53,False,not out,,74d12124
1375846,4,Australia,12b610c2,0,1,0,0,0.0,False,not out,,97290faf
1375846,4,Australia,3d8feaf8,10,12,2,0,83.33,False,not out,,74d12124
1375846,4,Australia,69d03465,2,5,0,0,40.0,False,not out,,97290faf
1375846,4,Australia,3fb19989,21,14,4,0,150.0,False,not out,,97290faf
1375846,4,Australia,ded9240e,2,8,0,0,25.0,False,not out,,97290faf
1375846,4,Australia,96a6a7ad,9,20,1,0,45.0,False,not out,,97290faf
1375846,4,Australia,03806cf8,0,6,0,0,0.0,False,not out,,97290faf
1375847,1,West Indies,58c2fac4,5,11,1,0,45.45,False,not out,,b08e58e2
1375847,1,West Indies,74d12124,1,5,0,0,20.0,False,not out,,b08e58e2
1375847,1,West Indies,6020a3c6,88,109,6,2,80.73,False,not out,,3b53243a
1375847,1,West Indies,1fc6ef83,12,17,1,0,70.59,False,not out,,3b53243a
1375847,1,West Indies,49dc9cb4,11,18,1,0,61.11,False,not out,,3b53243a
1375847,1,West Indies,3feda4fa,59,67,7,0,88.06,False,not out,,eaa76d3c
1375847,1,West Indies,1ac2a995,20,37,0,0,54.05,False,not out,,14f96089
1375847,1,West Indies,c5aef772,0,1,0,0,0.0,False,not out,,eaa76d3c
1375847,1,West Indies,83d17bbc,19,22,1,1,86.36,False,not out,,eaa76d3c
1375847,1,West Indies,97bdec3d,3,6,0,0,50.0,False,not out,,1a2676c5
1375847,1,West Indies,c6097d68,2,5,0,0,40.0,False,not out,,3b53243a
1375847,2,Australia,12b610c2,4,5,1,0,80.0,False,not out,,83d17bbc
