Match ID,innings,batting_team,batsman,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler
1375849,1,West Indies,820677.0,10.0,22.0,0.0,0.0,45.45,True,caught,,1125317.0
1375849,1,West Indies,416190.0,8.0,9.0,2.0,0.0,88.89,True,lbw,,1050545.0
1375849,1,West Indies,1209190.0,0.0,2.0,0.0,0.0,0.0,True,run out,,1050545.0
1375849,1,West Indies,914567.0,0.0,2.0,0.0,0.0,0.0,False,not out,,
1375849,1,West Indies,677077.0,1.0,3.0,0.0,0.0,33.33,True,caught,,1050545.0
1375849,1,West Indies,391832.0,12.0,26.0,0.0,0.0,46.15,True,caught,,1050545.0
1375849,1,West Indies,581379.0,4.0,5.0,1.0,0.0,80.0,True,lbw,,398666.0
1375849,1,West Indies,1275935.0,0.0,6.0,0.0,0.0,0.0,True,bowled,,1125317.0
1375849,2,Australia,1124283.0,2.0,6.0,0.0,0.0,33.33,True,caught,,914567.0
1375849,2,Australia,1168049.0,41.0,18.0,5.0,3.0,227.78,True,caught,,670031.0
1375849,2,Australia,662235.0,35.0,16.0,4.0,1.0,218.75,False,not out,,
1375849,2,Australia,267192.0,6.0,4.0,1.0,0.0,150.0,False,not out,,
1375849,1,West Indies,1078692.0,,,,,,False,DNB,,
1375849,1,West Indies,416190.0,,,,,,False,DNB,,
1375849,1,West Indies,820677.0,,,,,,False,DNB,,
1375849,1,West Indies,581379.0,,,,,,False,DNB,,
1375849,1,West Indies,1275935.0,,,,,,False,DNB,,
1375849,1,West Indies,391832.0,,,,,,False,DNB,,
1375849,1,West Indies,677077.0,,,,,,False,DNB,,
1375849,1,West Indies,1209190.0,,,,,,False,DNB,,
1375849,1,West Indies,670031.0,,,,,,False,DNB,,
1375849,1,West Indies,670045.0,,,,,,False,DNB,,
1375849,1,West Indies,914567.0,,,,,,False,DNB,,
1375849,2,Australia,1168049.0,,,,,,False,DNB,,
1375849,2,Australia,662235.0,,,,,,False,DNB,,
1375849,2,Australia,1124283.0,,,,,,False,DNB,,
1375849,2,Australia,267192.0,,,,,,False,DNB,,
1375849,2,Australia,787987.0,,,,,,False,DNB,,
1375849,2,Australia,1076713.0,,,,,,False,DNB,,
1375849,2,Australia,398666.0,,,,,,False,DNB,,
1375849,2,Australia,1076722.0,,,,,,False,DNB,,
1375849,2,Australia,1050545.0,,,,,,False,DNB,,
1375849,2,Australia,379504.0,,,,,,False,DNB,,
1375849,2,Australia,1125317.0,,,,,,False,DNB,,
1385700,1,England,244497.0,0.0,1.0,0.0,0.0,0.0,True,caught,,530011.0
1385700,1,England,596417.0,2.0,9.0,0.0,0.0,22.22,True,caught,,379504.0
1385700,1,England,521637.0,95.0,92.0,11.0,0.0,103.26,True,caught and bowled,,787987.0
1385700,1,England,911707.0,39.0,31.0,2.0,3.0,125.81,True,caught and bowled,,787987.0
1385700,1,England,669855.0,4.0,8.0,1.0,0.0,50.0,True,caught,,787987.0
1385700,1,England,1194959.0,35.0,35.0,3.0,1.0,100.0,True,caught,,530011.0
1385700,1,England,1096092.0,23.0,20.0,2.0,1.0,115.0,True,caught,,605575.0
1385700,1,England,403902.0,13.0,17.0,1.0,0.0,76.47,True,caught,,379504.0
1385700,1,England,1027781.0,11.0,10.0,0.0,1.0,110.0,False,not out,,
1385700,1,England,669365.0,17.0,24.0,2.0,0.0,70.83,True,bowled,,679567.0
1385700,1,England,897549.0,62.0,60.0,5.0,2.0,103.33,True,caught,,379504.0
1385700,2,Australia,1076713.0,32.0,33.0,5.0,0.0,96.97,True,bowled,,1194959.0
1385700,2,Australia,787987.0,77.0,62.0,7.0,2.0,124.19,False,not out,,
1385700,2,Australia,272450.0,10.0,16.0,2.0,0.0,62.5,True,caught,,1027781.0
1385700,2,Australia,267192.0,32.0,28.0,0.0,3.0,114.29,True,caught and bowled,,403902.0
1385700,2,Australia,530011.0,154.0,131.0,20.0,5.0,117.56,False,not out,,
1385700,1,England,669365.0,,,,,,False,DNB,,
1385700,1,England,521637.0,,,,,,False,DNB,,
1385700,1,England,897549.0,,,,,,False,DNB,,
1385700,1,England,911707.0,,,,,,False,DNB,,
1385700,1,England,1096092.0,,,,,,False,DNB,,
1385700,1,England,403902.0,,,,,,False,DNB,,
1385700,1,England,1194959.0,,,,,,False,DNB,,
1385700,1,England,596417.0,,,,,,False,DNB,,
1385700,1,England,669855.0,,,,,,False,DNB,,
1385700,1,England,1027781.0,,,,,,False,DNB,,
1385700,1,England,244497.0,,,,,,False,DNB,,
1385700,2,Australia,272450.0,,,,,,False,DNB,,
1385700,2,Australia,530011.0,,,,,,False,DNB,,
1385700,2,Australia,267192.0,,,,,,False,DNB,,
1385700,2,Australia,1076713.0,,,,,,False,DNB,,
1385700,2,Australia,787987.0,,,,,,False,DNB,,
1385700,2,Australia,326434.0,,,,,,False,DNB,,
1385700,2,Australia,605575.0,,,,,,False,DNB,,
1385700,2,Australia,1124283.0,,,,,,False,DNB,,
1385700,2,Australia,398666.0,,,,,,False,DNB,,
1385700,2,Australia,679567.0,,,,,,False,DNB,,
1385700,2,Australia,379504.0,,,,,,False,DNB,,
1385701,1,Australia,379504.0,3.0,5.0,0.0,0.0,60.0,True,caught,,244497.0
1385701,1,Australia,1124283.0,23.0,25.0,3.0,0.0,92.0,True,caught,,596417.0
1385701,1,Australia,326434.0,74.0,72.0,8.0,3.0,102.78,True,caught,,457279.0
1385701,1,Australia,325026.0,7.0,5.0,0.0,1.0,140.0,True,caught,,244497.0
1385701,1,Australia,288284.0,4.0,12.0,1.0,0.0,33.33,False,not out,,
1385701,1,Australia,787987.0,19.0,28.0,1.0,0.0,67.86,True,caught,,1194959.0
1385701,1,Australia,311592.0,0.0,1.0,0.0,0.0,0.0,True,caught,,596417.0
1385701,1,Australia,272450.0,60.0,60.0,6.0,3.0,100.0,True,lbw,,1194959.0
1385701,1,Australia,605575.0,29.0,36.0,4.0,1.0,80.56,True,caught,,1027781.0
1385701,1,Australia,267192.0,4.0,6.0,1.0,0.0,66.67,True,bowled,,1027781.0
1385701,1,Australia,530011.0,29.0,28.0,4.0,2.0,103.57,True,caught,,596417.0
1385701,2,England,244497.0,27.0,34.0,2.0,1.0,79.41,True,lbw,,325026.0
1385701,2,England,596417.0,26.0,47.0,2.0,1.0,55.32,True,caught,,379504.0
1385701,2,England,521637.0,32.0,28.0,4.0,1.0,114.29,True,caught and bowled,,1124283.0
1385701,2,England,911707.0,4.0,9.0,1.0,0.0,44.44,True,lbw,,311592.0
1385701,2,England,1194959.0,25.0,38.0,4.0,0.0,65.79,True,caught,,325026.0
1385701,2,England,1096092.0,49.0,62.0,6.0,2.0,79.03,True,caught,,288284.0
1385701,2,England,403902.0,0.0,1.0,0.0,0.0,0.0,True,caught,,1124283.0
1385701,2,England,1027781.0,7.0,17.0,0.0,0.0,41.18,False,not out,,
1385701,2,England,457279.0,1.0,3.0,0.0,0.0,33.33,True,caught,,311592.0
1385701,2,England,669365.0,12.0,14.0,3.0,0.0,85.71,True,caught,,288284.0
1385701,2,England,897549.0,0.0,1.0,0.0,0.0,0.0,True,caught,,311592.0
1385701,1,Australia,605575.0,,,,,,False,DNB,,
1385701,1,Australia,530011.0,,,,,,False,DNB,,
1385701,1,Australia,272450.0,,,,,,False,DNB,,
1385701,1,Australia,267192.0,,,,,,False,DNB,,
1385701,1,Australia,787987.0,,,,,,False,DNB,,
1385701,1,Australia,326434.0,,,,,,False,DNB,,
1385701,1,Australia,325026.0,,,,,,False,DNB,,
1385701,1,Australia,1124283.0,,,,,,False,DNB,,
1385701,1,Australia,311592.0,,,,,,False,DNB,,
1385701,1,Australia,379504.0,,,,,,False,DNB,,
1385701,1,Australia,288284.0,,,,,,False,DNB,,
1385701,2,England,669365.0,,,,,,False,DNB,,
1385701,2,England,521637.0,,,,,,False,DNB,,
1385701,2,England,897549.0,,,,,,False,DNB,,
1385701,2,England,911707.0,,,,,,False,DNB,,
1385701,2,England,1096092.0,,,,,,False,DNB,,
1385701,2,England,403902.0,,,,,,False,DNB,,
1385701,2,England,1194959.0,,,,,,False,DNB,,
1385701,2,England,596417.0,,,,,,False,DNB,,
1385701,2,England,244497.0,,,,,,False,DNB,,
1385701,2,England,1027781.0,,,,,,False,DNB,,
1385701,2,England,457279.0,,,,,,False,DNB,,
1385702,1,Australia,1124283.0,44.0,26.0,3.0,2.0,169.23,False,not out,,
1385702,1,Australia,326434.0,77.0,68.0,8.0,1.0,113.24,True,run out,,1027781.0
1385702,1,Australia,1076713.0,42.0,51.0,4.0,0.0,82.35,True,caught,,1194959.0
1385702,1,Australia,325026.0,30.0,25.0,5.0,0.0,120.0,True,caught,,403902.0
1385702,1,Australia,787987.0,0.0,3.0,0.0,0.0,0.0,True,caught,,897549.0
1385702,1,Australia,272450.0,24.0,40.0,2.0,1.0,60.0,True,caught,,596417.0
